id	light	temperature	continental	wetness	alkalinity	nitrogen	salinity	lifeForm
Acaulon muticum (Hedw.) C. Muell.	9	5	5	7	5			T
Acaulon piligerum (De Not.) Limpr.	9	9	7	3	7			T
Acaulon triquetrum (Spruce) C. Muell.	9	7	5	3	6			T
Aloina aloides (Koch ex F. H. Schultz) Kindb.	7	6	5	4	9			T
Aloina ambigua (Br. & S.) Limpr.	7	6	5	4	8			T
Aloina brevirostris (Hook. & Grev.) Kindb.	8	2	6	6	6			T
Aloina rigida (Hedw.) Limpr.	7	4	5	5	6			T
Amblyodon dealbatus (Hedw.) B. & S.	8	1	6	7	7			C, H
Amblystegium humile (P. Beauv.) Crundwell (kochii)	5	5	5	6	4			C
Amblystegium riparium (Hedw.) B., S. & G.	x	x	5	7	5			C, A
Amblystegium saxatile Schimp.	5	6	5	6	?			C
Amblystegium serpens (Hedw.) B., S. & G. var. serpens	5	x	5	4	6			C, E
Amblystegium serpens var. juratzkanum (Schimp.) Rau & Herv.	5	x	5	6	4			C,(E)
Amblystegium serpens var. salinum Carringt.	8	x	3	6	6			C
Amblystegium varium (Hedw.) Lindb.	5	5	5	5	6			C,(E)
Amphidium lapponicum (Hedw.) Schimp.	4	1	6	6	2			C
Amphidium mougeotii (B. & S.) Schimp.	4	3	4	7	6			C
Anacamptodon splachnoides (Froel. ex Brid.) Brid.	4	7	7	5	3			C, E
Anastrepta orcadensis (Hook.) Schiffn.	5	3	3	6	2			C
Anastrophyllum assimile (Mitt.) Steph.	7	2	5	6	2			C
Anastrophyllum michauxii (F. Web.) Buch	4	3	7	6	2			C
Anastrophyllum saxicola (Schrad.) Schuster	8	3	6	5	3			C
Andreaea alpina Hedw.	2	2	3	8	6			C
Andreaea blyttii Schimp.	9	1	4	7	1			C
Andreaea crassinervia Bruch	8	2	5	7	1			C,(A)
Andreaea frigida Hueb.	8	1	6	8	1			C, A
Andreaea heinemannii Hampe & C. Muell. (angustata)	7	2	2	3	1			C
Andreaea nivalis Hook.	8	1	4	8	2			C
Andreaea rothii Web. & Mohr. ssp. rothii	6	3	3	4	2			C
Andreaea rothii ssp. falcata (Schimp.) Lindb. (huntii)	7	3	3	2	1			C
Andreaea rupestris Hedw. var. rupestris	8	2	6	2	1			C
Andreaea rupestris var. alpestris (Thed.) Sharp	6	1	6	6	1			C
Andreaea rupestris var. papillosa (Lindb.) Podp.	8	1	4	2	1			C
