scientificName	phylum	kingdom
Acaulon muticum (Hedw.) C. Muell.	Bryophyta	Plantae
Acaulon piligerum (De Not.) Limpr.	Bryophyta	Plantae
Acaulon triquetrum (Spruce) C. Muell.	Bryophyta	Plantae
Aloina aloides (Koch ex F. H. Schultz) Kindb.	Bryophyta	Plantae
Aloina ambigua (Br. & S.) Limpr.	Bryophyta	Plantae
Aloina brevirostris (Hook. & Grev.) Kindb.	Bryophyta	Plantae
Aloina rigida (Hedw.) Limpr.	Bryophyta	Plantae
Amblyodon dealbatus (Hedw.) B. & S.	Bryophyta	Plantae
Amblystegium humile (P. Beauv.) Crundwell (kochii)	Bryophyta	Plantae
Amblystegium riparium (Hedw.) B., S. & G.	Bryophyta	Plantae
Amblystegium saxatile Schimp.	Bryophyta	Plantae
Amblystegium serpens (Hedw.) B., S. & G. var. serpens	Bryophyta	Plantae
Amblystegium serpens var. juratzkanum (Schimp.) Rau & Herv.	Bryophyta	Plantae
Amblystegium serpens var. salinum Carringt.	Bryophyta	Plantae
Amblystegium varium (Hedw.) Lindb.	Bryophyta	Plantae
Amphidium lapponicum (Hedw.) Schimp.	Bryophyta	Plantae
Amphidium mougeotii (B. & S.) Schimp.	Bryophyta	Plantae
Anacamptodon splachnoides (Froel. ex Brid.) Brid.	Bryophyta	Plantae
Anastrepta orcadensis (Hook.) Schiffn.	Bryophyta	Plantae
Anastrophyllum assimile (Mitt.) Steph.	Bryophyta	Plantae
Anastrophyllum michauxii (F. Web.) Buch	Bryophyta	Plantae
Anastrophyllum saxicola (Schrad.) Schuster	Bryophyta	Plantae
Andreaea alpina Hedw.	Bryophyta	Plantae
Andreaea blyttii Schimp.	Bryophyta	Plantae
Andreaea crassinervia Bruch	Bryophyta	Plantae
Andreaea frigida Hueb.	Bryophyta	Plantae
Andreaea heinemannii Hampe & C. Muell. (angustata)	Bryophyta	Plantae
Andreaea nivalis Hook.	Bryophyta	Plantae
Andreaea rothii Web. & Mohr. ssp. rothii	Bryophyta	Plantae
Andreaea rothii ssp. falcata (Schimp.) Lindb. (huntii)	Bryophyta	Plantae
Andreaea rupestris Hedw. var. rupestris	Bryophyta	Plantae
Andreaea rupestris var. alpestris (Thed.) Sharp	Bryophyta	Plantae
Andreaea rupestris var. papillosa (Lindb.) Podp.	Bryophyta	Plantae
Aneura pinguis (L.) Dum. (Riccardia)	Bryophyta	Plantae
Anoectangium aestivum (Hedw.) Mitt.	Bryophyta	Plantae
Anoectangium hornschuchianum (Hook.) Funck	Bryophyta	Plantae
Anoectangium schliephackei (Limpr.) Par.	Bryophyta	Plantae
Anoectangium sendtnerianum B., S. & G.	Bryophyta	Plantae
Anoectangium taeniatifolium (Herz.) M. Hill	Bryophyta	Plantae
Anoectangium tenuinerve (Limpr.) Par.	Bryophyta	Plantae
Anomobryum julaceum (G., M. & S.) Schimp. var. julaceum (filiforme)	Bryophyta	Plantae
Anomobryum julaceum var. concinnatum (Spruce) Zett.	Bryophyta	Plantae
Anomodon attenuatus (Hedw.) Hueb.	Bryophyta	Plantae
Anomodon longifolius (Brid.) Hartm.	Bryophyta	Plantae
Anomodon rostratus (Hedw.) Schimp.	Bryophyta	Plantae
Anomodon rugelii (C. Muell.) Keissl.	Bryophyta	Plantae
Anomodon viticulosus (Hedw.) Hook. & Tayl.	Bryophyta	Plantae
Anthelia julacea (L.) Dum.	Bryophyta	Plantae
Anthelia juratzkana (Limpr.) Trev.	Bryophyta	Plantae
Anthoceros agrestis Paton (punctatus var. cavernosus)	Bryophyta	Plantae
Anthoceros neesii Prosk.	Bryophyta	Plantae
Anthoceros punctatus L. (husnotii)	Bryophyta	Plantae
Antitrichia californica Sull.	Bryophyta	Plantae
Antitrichia curtipendula (Hedw.) Brid. fo. curtipendula	Bryophyta	Plantae
Aongstroemia longipes (Somm.) B., S. & G.	Bryophyta	Plantae
Aphanolejeunea microscopica (Tayl.) Evans	Bryophyta	Plantae
Aphanorhegma patens (Hedw.) Lindb.	Bryophyta	Plantae
Apometzgeria pubescens (Schrank) Kuwah.	Bryophyta	Plantae
Archidium alternifolium (Hedw.) Schimp.	Bryophyta	Plantae
Arctoa fulvella (Dicks.) B., S. & G.	Bryophyta	Plantae
Arnellia fennica (Gott.) Lindb.	Bryophyta	Plantae
Aschisma carniolicum (Web. & Mohr) Lindb.	Bryophyta	Plantae
Asterella gracilis (F. Web.) Underw. (F. ludwigii)	Bryophyta	Plantae
Asterella lindenbergiana (Corda ex Nees) H. Arn.	Bryophyta	Plantae
Asterella saccata (Wahlenb.) Nees	Bryophyta	Plantae
Athalamya hyalina (Sommerf.) Hattori var. hyalina	Bryophyta	Plantae
Athalamya hyalina var. suecica (Lindb.) Hattori	Bryophyta	Plantae
Atrichum angustatum (Brid.) B. & S.	Bryophyta	Plantae
Atrichum tenellum (Roehl.) B. & S.	Bryophyta	Plantae
Atrichum undulatum (Hedw.) P. Beauv. var. undulatum	Bryophyta	Plantae
Atrichum undulatum var. gracilisetum Besch. (haussknechtii)	Bryophyta	Plantae
Aulacomnium androgynum (Hedw.) Schwaegr.	Bryophyta	Plantae
Aulacomnium palustre (Hedw.) Schwaegr. var. palustre	Bryophyta	Plantae
Aulacomnium palustre var. imbricatum B. & S.	Bryophyta	Plantae
Aulacomnium turgidum (Wahlenb.) Schwaegr.	Bryophyta	Plantae
Barbilophozia atlantica (Kaal.) K. Muell.	Bryophyta	Plantae
Barbilophozia attenuata (Mart.) Loeske	Bryophyta	Plantae
Barbilophozia barbata (Schmid. ex Schreb.) Loeske	Bryophyta	Plantae
Barbilophozia floerkei (Web. & Mohr) Loeske	Bryophyta	Plantae
Barbilophozia hatcheri (Evans) Loeske	Bryophyta	Plantae
Barbilophozia kunzeana (Hueb.) K. Muell.	Bryophyta	Plantae
Barbilophozia lycopodioides (Wallr.) Loeske	Bryophyta	Plantae
Barbilophozia quadriloba (Lindb.) Loeske	Bryophyta	Plantae
Barbula bicolor (B., S. & G.) Lindb.	Bryophyta	Plantae
Barbula convoluta Hedw. var. convoluta	Bryophyta	Plantae
Barbula convoluta var. commutata (Jur.) Husn.	Bryophyta	Plantae
Barbula crocea (Brid.) Web. & Mohr	Bryophyta	Plantae
Barbula ehrenbergii (Lor.) Fleischer (Hydrogonium)	Bryophyta	Plantae
Barbula enderesii Garov.	Bryophyta	Plantae
Barbula indica (Hook.) Zander	Bryophyta	Plantae
Barbula unguiculata Hedw.	Bryophyta	Plantae
Bartramia halleriana Hedw. D116	Bryophyta	Plantae
Bartramia ithyphylla Brid. var. ithyphylla	Bryophyta	Plantae
Bartramia ithyphylla var. breviseta (Lindb.) Kindb. (+ strigosa)	Bryophyta	Plantae
Bartramia pomiformis Hedw. var. pomiformis	Bryophyta	Plantae
